model,score_type,train_rows_used,accuracy,precision,recall,f1_score,roc_auc,pr_auc
xgboost,probability,454904,0.9995779329265075,0.9991565778144823,1.0,0.9995781109919666,0.9999745954783003,0.999967173852043
lightgbm,probability,454904,0.9997010358229429,0.9994199841813868,0.9999824138719379,0.9997011199212363,0.9999150252258753,0.9997950430370073
decision_tree,probability,454904,0.9860542004466877,0.9856783875445903,0.9864410952640558,0.9860595939175529,0.9967807518326227,0.9876036245448148
neural_network,probability,50000,0.9640099889207393,0.9834188347379993,0.9439354237377556,0.9632727044318621,0.9947781984955667,0.9952365405811291
logistic_regression,probability,454904,0.9649772259641595,0.977170185887024,0.9522009039269824,0.9645239728162603,0.9934995543387278,0.9944602443931054
svm,decision,454904,0.9633329229903452,0.9801534508210166,0.9458171394404095,0.9626792202910484,0.9933137215134991,0.994328468839417
